source,program,used_default_cpp,cents_per_point,flight_numbers,cabin,stops,connections,carriers,remaining_seats,bookable,comparable,depart_time,arrive_time,duration_minutes,mileage_cost,taxes_amount,taxes_currency,taxes_usd,fx_source,points_value_usd,effective_usd,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,seat_credit_usd,score,expensive_flag,dynamic_price_threshold_usd,flags,aircraft,fare_classes,availability_id,trip_id,departs_at_raw,arrives_at_raw
delta,Delta SkyMiles,False,1.2,"DL635, DL1646",business,1,ATL,"DL, DL",6,True,True,21:30,09:28 +1,538,107500,5.6,USD,5.6,cache:2026-06-27,1290.0,1295.6,50.0,44.83,0.0,75.0,12.0,1453.43,True,723.7,"next_day_arrival, expensive","Boeing 737-900, Airbus A321","OD, OD",38GsMWFv0pDHw8VWtRCme9K5kgv,3DpmP0bdPbetYvyUL1LSSJTb78z,2026-12-11T21:30:00Z,2026-12-12T09:28:00Z
delta,Delta SkyMiles,False,1.2,"DL635, DL1646",economy,1,ATL,"DL, DL",8,True,True,21:30,09:28 +1,538,33300,5.6,USD,5.6,cache:2026-06-27,399.6,405.2,50.0,44.83,0.0,75.0,16.0,559.03,False,405.2,next_day_arrival,"Boeing 737-900, Airbus A321","NU, NU",38GsMWFv0pDHw8VWtRCme9K5kgv,3DpmP2Y6kavgbE30zjdqzP6O0NQ,2026-12-11T21:30:00Z,2026-12-12T09:28:00Z
united,United MileagePlus,False,1.2,"UA705, UA6137",economy,1,IAD,"UA, UA",9,True,True,21:30,10:06 +1,576,22100,5.6,USD,5.6,cache:2026-06-27,265.2,270.8,50.0,48.0,0.0,75.0,18.0,425.8,False,405.2,next_day_arrival,"Boeing 737 MAX 9, Embraer E175","YN, YN",3888wcxv2NLqUWsOibGx8H3QHRE,3F4x23jVj20u6vDjJuNGJzuMcJ9,2026-12-11T21:30:00Z,2026-12-12T10:06:00Z
american,American AAdvantage,False,2.0,"AA3035, AA2332, AA3364",business,2,"PHL, ORD","AA, AA, AA",0,False,True,21:36,12:26 +1,710,120000,5.6,USD,5.6,cache:2026-06-27,2400.0,2405.6,100.0,59.17,0.0,75.0,0.0,2639.77,False,723.7,"not_enough_seats, exceeds_preferred_stops, next_day_arrival","Airbus A321neo/Lr/Xlr, Boeing 737-800, Embraer E170",,38GsHXxxjuJEqrJUesZ1jz9cLRf,3DpmUlu5MBhUENtboGPpFryLjLS,2026-12-11T21:36:00Z,2026-12-12T12:26:00Z
american,American AAdvantage,False,2.0,"AA3035, AA2332, AA3364",economy,2,"PHL, ORD","AA, AA, AA",0,False,True,21:36,12:26 +1,710,13500,5.6,USD,5.6,cache:2026-06-27,270.0,275.6,100.0,59.17,0.0,75.0,0.0,509.77,False,405.2,"not_enough_seats, exceeds_preferred_stops, next_day_arrival","Airbus A321neo/Lr/Xlr, Boeing 737-800, Embraer E170",,38GsHXxxjuJEqrJUesZ1jz9cLRf,3DpmUlm2DxfAPxUccWR8BfY79fi,2026-12-11T21:36:00Z,2026-12-12T12:26:00Z
american,American AAdvantage,False,2.0,"AA3035, AA5122",business,1,PHL,"AA, AA",0,False,True,21:36,15:26 +1,890,114500,11.2,USD,11.2,cache:2026-06-27,2290.0,2301.2,50.0,74.17,0.0,75.0,0.0,2500.37,False,723.7,"not_enough_seats, next_day_arrival","Airbus A321neo/Lr/Xlr, Bombardier CRJ900",,38GsHXxxjuJEqrJUesZ1jz9cLRf,3DpmUs5X1l2WSqW4AN86fX7kpHW,2026-12-11T21:36:00Z,2026-12-12T15:26:00Z
american,American AAdvantage,False,2.0,"AA3035, AA5122",economy,1,PHL,"AA, AA",0,False,True,21:36,15:26 +1,890,9500,11.2,USD,11.2,cache:2026-06-27,190.0,201.2,50.0,74.17,0.0,75.0,0.0,400.37,False,405.2,"not_enough_seats, next_day_arrival","Airbus A321neo/Lr/Xlr, Bombardier CRJ900",,38GsHXxxjuJEqrJUesZ1jz9cLRf,3DpmUxcRUsZ5ZGmk1qrYPWk8Gii,2026-12-11T21:36:00Z,2026-12-12T15:26:00Z
american,American AAdvantage,False,2.0,"AA3035, AA5636",business,1,PHL,"AA, AA",0,False,True,21:36,10:36 +1,600,114500,5.6,USD,5.6,cache:2026-06-27,2290.0,2295.6,50.0,50.0,0.0,75.0,0.0,2470.6,False,723.7,"not_enough_seats, next_day_arrival","Airbus A321neo/Lr/Xlr, Bombardier CRJ900",,38GsHXxxjuJEqrJUesZ1jz9cLRf,3DpmUna6av8EEF5yf4Si8fNBwj8,2026-12-11T21:36:00Z,2026-12-12T10:36:00Z
alaska,Alaska Atmos Rewards,False,1.5,"AA3035, AA5636",economy,1,PHL,AA,9,True,True,21:36,10:36 +1,600,17500,18.1,USD,18.1,cache:2026-06-27,262.5,280.6,50.0,50.0,0.0,75.0,18.0,437.6,False,405.2,next_day_arrival,"Airbus A321neo/Lr/Xlr, Bombardier CRJ900","T, T",37HC7HH5pz8lBYLt15XcesiMRkP,3D0BFq3zt2pKwodqGR4ZueETurf,2026-12-11T21:36:00Z,2026-12-12T10:36:00Z
american,American AAdvantage,False,2.0,"AA3035, AA5636",economy,1,PHL,"AA, AA",0,False,True,21:36,10:36 +1,600,9500,5.6,USD,5.6,cache:2026-06-27,190.0,195.6,50.0,50.0,0.0,75.0,0.0,370.6,False,405.2,"not_enough_seats, next_day_arrival","Airbus A321neo/Lr/Xlr, Bombardier CRJ900",,38GsHXxxjuJEqrJUesZ1jz9cLRf,3DpmUr13EQwdrsvTlrwM3wkfn8v,2026-12-11T21:36:00Z,2026-12-12T10:36:00Z
