source,program,used_default_cpp,cents_per_point,flight_numbers,cabin,stops,connections,carriers,remaining_seats,bookable,comparable,depart_time,arrive_time,duration_minutes,mileage_cost,taxes_amount,taxes_currency,taxes_usd,fx_source,points_value_usd,effective_usd,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,seat_credit_usd,score,expensive_flag,dynamic_price_threshold_usd,flags,aircraft,fare_classes,availability_id,trip_id,departs_at_raw,arrives_at_raw,alternate_count,alternates
flyingblue,Air France/KLM Flying Blue,False,1.1,DL772,economy,0,,DL,4,True,True,06:00,13:36,276,16000,15.2,USD,15.2,cache:2026-06-27,176.0,191.2,0.0,23.0,50.0,0,8.0,256.2,False,482.4,early departure,Boeing 737-900,N,38XnstoSS2UzyaNtEiEhXFVeaiH,3CUVB0MclBnsc2knnezxdmipGgl,2027-01-14T06:00:00Z,2027-01-14T13:36:00Z,1,"Virgin Atlantic Flying Club 22,000 + USD 5.60"
virginatlantic,Virgin Atlantic Flying Club,False,1.0,"DL2272, DL708",economy,1,LAX,"DL, DL",3,True,True,13:00,23:06,426,26000,5.6,USD,5.6,cache:2026-06-27,260.0,265.6,50.0,35.5,50.0,0,6.0,395.1,False,482.4,late arrival,"Boeing 737-800, Airbus A321neo","N, N",39owGMNK3J5SN7ZnyiSN8Aca4XJ,3E5lFbLQybBT34hliOdHxfAmi2v,2027-01-14T13:00:00Z,2027-01-14T23:06:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AS726, AA2023, AA2352",economy,2,"LAX, CLT","AA, AS",9,True,True,08:00,21:54,654,22500,18.1,USD,18.1,cache:2026-06-27,337.5,355.6,100.0,54.5,0.0,0,18.0,492.1,False,482.4,exceeds_preferred_stops,"Boeing 737-900, Airbus A321neo/Lr/Xlr, Airbus A320","T, T, T",38oj8PJPWubGhrDb5Zkoa8Zd69T,3BX3hivw9mZYLXJIaWGQrL9TM8P,2027-01-14T08:00:00Z,2027-01-14T21:54:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AS726, AA2439, AA1287",economy,2,"LAX, PHX","AA, AS",9,True,True,08:00,23:04,724,22500,18.1,USD,18.1,cache:2026-06-27,337.5,355.6,100.0,60.33,50.0,0,18.0,547.93,False,482.4,"exceeds_preferred_stops, late arrival","Boeing 737-900, Boeing 737-800, Airbus A321","T, T, T",38oj8PJPWubGhrDb5Zkoa8Zd69T,3BX3hmD73zY1PnLcXcT6hEK2XKz,2027-01-14T08:00:00Z,2027-01-14T23:04:00Z,0,
united,United MileagePlus,False,1.2,"UA1387, UA1528",economy,1,IAH,"UA, UA",9,True,True,12:33,23:44,491,35200,5.6,USD,5.6,cache:2026-06-27,422.4,428.0,50.0,40.92,50.0,0,18.0,550.92,False,482.4,late arrival,"Boeing 737 MAX 9, Airbus A319","YN, YN",39hdczWr7UrZO1baRT6R3DlyKwg,3FSyCezG4zUybgLRUc8v06lKIyQ,2027-01-14T12:33:00Z,2027-01-14T23:44:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AS726, AA1590, AA3318",economy,2,"LAX, CLT","AA, AS",9,True,True,08:00,23:43,763,22500,18.1,USD,18.1,cache:2026-06-27,337.5,355.6,100.0,63.58,50.0,0,18.0,551.18,False,482.4,"exceeds_preferred_stops, late arrival","Boeing 737-900, Airbus A321neo/Lr/Xlr, Airbus A320","T, T, T",38oj8PJPWubGhrDb5Zkoa8Zd69T,3ETN8NhRvtxej8FPb78tfEPs4Ix,2027-01-14T08:00:00Z,2027-01-14T23:43:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AS726, AA2023, AA3318",economy,2,"LAX, CLT","AA, AS",9,True,True,08:00,23:43,763,22500,18.1,USD,18.1,cache:2026-06-27,337.5,355.6,100.0,63.58,50.0,0,18.0,551.18,False,482.4,"exceeds_preferred_stops, late arrival","Boeing 737-900, Airbus A321neo/Lr/Xlr, Airbus A320","T, T, T",38oj8PJPWubGhrDb5Zkoa8Zd69T,3BX3hgp2UzttILrnK2F6CckMkSU,2027-01-14T08:00:00Z,2027-01-14T23:43:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AS1489, AA2023, AA2352",economy,2,"LAX, CLT","AA, AS",9,True,True,06:00,21:54,774,22500,18.1,USD,18.1,cache:2026-06-27,337.5,355.6,100.0,64.5,50.0,0,18.0,552.1,False,482.4,"exceeds_preferred_stops, early departure","Boeing 737-900, Airbus A321neo/Lr/Xlr, Airbus A320","T, T, T",38oj8PJPWubGhrDb5Zkoa8Zd69T,3BX3hjDxsZaOCBqoKuKKjFzxoza,2027-01-14T06:00:00Z,2027-01-14T21:54:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AS1489, AA3175, AA2352",economy,2,"LAX, CLT","AA, AS",9,True,True,06:00,21:54,774,22500,18.1,USD,18.1,cache:2026-06-27,337.5,355.6,100.0,64.5,50.0,0,18.0,552.1,False,482.4,"exceeds_preferred_stops, early departure","Boeing 737-900, Airbus A321, Airbus A320","T, T, T",38oj8PJPWubGhrDb5Zkoa8Zd69T,3ETN8FVzRVjlv2Y2URx2iKlGTWv,2027-01-14T06:00:00Z,2027-01-14T21:54:00Z,0,
united,United MileagePlus,False,1.2,"UA2168, UA393",economy,1,IAH,"UA, UA",9,True,True,05:00,15:43,463,31700,5.6,USD,5.6,cache:2026-06-27,380.4,386.0,50.0,38.58,100.0,0,18.0,556.58,False,482.4,very early departure,"Boeing 737 MAX 9, Airbus A319","YN, YN",39hdczWr7UrZO1baRT6R3DlyKwg,39iRntwNcCKEHpPSZrQ00uoYgjl,2027-01-14T05:00:00Z,2027-01-14T15:43:00Z,0,
