source,program,used_default_cpp,cents_per_point,flight_numbers,cabin,stops,connections,carriers,remaining_seats,bookable,comparable,depart_time,arrive_time,duration_minutes,mileage_cost,taxes_amount,taxes_currency,taxes_usd,fx_source,points_value_usd,effective_usd,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,seat_credit_usd,score,expensive_flag,dynamic_price_threshold_usd,flags,aircraft,fare_classes,availability_id,trip_id,departs_at_raw,arrives_at_raw
american,American AAdvantage,False,2.0,"AA1097, AA1154, AA2650",economy,2,"LAX, DFW","AA, AA, AA",0,False,True,07:00,20:03,663,40500,62.34,USD,62.34,cache:2026-06-27,810.0,872.34,100.0,55.25,0.0,0,0.0,1027.59,False,592.59,"not_enough_seats, exceeds_preferred_stops","Boeing 737-800, Airbus A321neo/Lr/Xlr, Boeing 737-800",,33o0naTNlD0HGVvwpT7QHFOzPoC,3DFJdVZTbp32VlTSxZt88VVtflL,2026-09-04T07:00:00Z,2026-09-04T20:03:00Z
american,American AAdvantage,False,2.0,"AA304, AA2650",business,1,DFW,"AA, AA",0,False,True,07:25,20:03,638,130000,62.34,USD,62.34,cache:2026-06-27,2600.0,2662.34,50.0,53.17,0.0,0,0.0,2765.51,False,1030.74,not_enough_seats,"Airbus A321, Boeing 737-800",,33o0naTNlD0HGVvwpT7QHFOzPoC,3DFJdQeD1pKZQzANYTjqrmjhePh,2026-09-04T07:25:00Z,2026-09-04T20:03:00Z
alaska,Alaska Atmos Rewards,False,1.5,"AA304, AA2650",economy,1,DFW,AA,2,True,True,07:25,20:03,638,17500,74.84,USD,74.84,cache:2026-06-27,262.5,337.34,50.0,53.17,0.0,0,4.0,436.51,False,592.59,,"Airbus A321, Boeing 737-800","T, T",32o6jffBLWSOaBl6ylZgptQChIn,3FbOdw65Mj80HCo46E1TM9Cu6E7,2026-09-04T07:25:00Z,2026-09-04T20:03:00Z
american,American AAdvantage,False,2.0,"AA304, AA2650",economy,1,DFW,"AA, AA",0,False,True,07:25,20:03,638,31000,62.34,USD,62.34,cache:2026-06-27,620.0,682.34,50.0,53.17,0.0,0,0.0,785.51,False,592.59,not_enough_seats,"Airbus A321, Boeing 737-800",,33o0naTNlD0HGVvwpT7QHFOzPoC,3DFJdVJjbg9ag8BmEiEnuwgRzwQ,2026-09-04T07:25:00Z,2026-09-04T20:03:00Z
qantas,qantas,True,2.0,"AA304, AA2650",economy,1,DFW,AA,2,True,True,07:25,20:03,638,23300,85.74,USD,85.74,cache:2026-06-27,466.0,551.74,50.0,53.17,0.0,0,4.0,650.91,False,592.59,default_cpp,,,32U85tL0904bWSjwtwIUb4DZbHO,3FbOeSaagZVJ57ec5Usuhnwr0DQ,2026-09-04T07:25:00Z,2026-09-04T20:03:00Z
alaska,Alaska Atmos Rewards,False,1.5,"AA1960, AA895",economy,1,CLT,AA,9,True,True,08:00,10:59 +1,1499,22500,80.44,USD,80.44,cache:2026-06-27,337.5,417.94,50.0,124.92,0.0,75.0,18.0,649.86,False,592.59,next_day_arrival,"Airbus A321, Airbus A321","T, T",32o6jffBLWSOaBl6ylZgptQChIn,3FbOdtdohdRSwSZoFyjX13NNleX,2026-09-04T08:00:00Z,2026-09-05T10:59:00Z
aeroplan,Air Canada Aeroplan,False,1.1,"AC756, AC1882",business,1,YUL,AC,2,True,True,08:10,12:10 +1,1560,79700,126.1,CAD,88.8,cache:2026-06-27,876.7,965.5,50.0,130.0,0.0,75.0,4.0,1216.5,False,1030.74,next_day_arrival,"Boeing 737 MAX 8, Airbus A321","P, P",32jAqosYYcRMq31vSf3mLjWvAVH,3Aax84vkSTxBvMX3LB5W7fGoSx9,2026-09-04T08:10:00Z,2026-09-05T12:10:00Z
aeroplan,Air Canada Aeroplan,False,1.1,"AC756, AC1882",economy,1,YUL,AC,9,True,True,08:10,12:10 +1,1560,81600,126.1,CAD,88.8,cache:2026-06-27,897.6,986.4,50.0,130.0,0.0,75.0,18.0,1223.4,True,592.59,"next_day_arrival, expensive","Boeing 737 MAX 8, Airbus A321","S, S",32jAqosYYcRMq31vSf3mLjWvAVH,3Aax82IDdw7sMxwIsYiPJzYyveC,2026-09-04T08:10:00Z,2026-09-05T12:10:00Z
american,American AAdvantage,False,2.0,"AA2904, AA2650",business,1,DFW,"AA, AA",0,False,True,08:45,20:03,558,150000,62.34,USD,62.34,cache:2026-06-27,3000.0,3062.34,50.0,46.5,0.0,0,0.0,3158.84,False,1030.74,not_enough_seats,"Airbus A321, Boeing 737-800",,33o0naTNlD0HGVvwpT7QHFOzPoC,3DFJdWsN9EU6T8r1FjkGjj33Nrx,2026-09-04T08:45:00Z,2026-09-04T20:03:00Z
american,American AAdvantage,False,2.0,"AA2904, AA2650",economy,1,DFW,"AA, AA",0,False,True,08:45,20:03,558,34000,62.34,USD,62.34,cache:2026-06-27,680.0,742.34,50.0,46.5,0.0,0,0.0,838.84,False,592.59,not_enough_seats,"Airbus A321, Boeing 737-800",,33o0naTNlD0HGVvwpT7QHFOzPoC,3DFJdXeSVYCvQMekTyxz3ex1Jlm,2026-09-04T08:45:00Z,2026-09-04T20:03:00Z
