source,program,used_default_cpp,cents_per_point,flight_numbers,cabin,stops,connections,carriers,remaining_seats,bookable,comparable,depart_time,arrive_time,duration_minutes,mileage_cost,taxes_amount,taxes_currency,taxes_usd,fx_source,points_value_usd,effective_usd,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,seat_credit_usd,score,expensive_flag,dynamic_price_threshold_usd,flags,aircraft,fare_classes,availability_id,trip_id,departs_at_raw,arrives_at_raw
american,American AAdvantage,False,2.0,"AA1108, AA1996",business,1,DFW,"AA, AA",0,False,True,05:07,11:17,550,150000,5.6,USD,5.6,cache:2026-06-27,3000.0,3005.6,50.0,45.83,100.0,0,0.0,3201.43,False,957.2,"not_enough_seats, very early departure","Boeing 737-800, Airbus A321",,38Xo9PnpgFnDLp39aDc5j9qTWlO,3DygfR0ktd1VdeqAfLW3C0K4ZkF,2026-12-17T05:07:00Z,2026-12-17T11:17:00Z
american,American AAdvantage,False,2.0,"AA1108, AA1996",economy,1,DFW,"AA, AA",0,False,True,05:07,11:17,550,47000,5.6,USD,5.6,cache:2026-06-27,940.0,945.6,50.0,45.83,100.0,0,0.0,1141.43,False,507.2,"not_enough_seats, very early departure","Boeing 737-800, Airbus A321",,38Xo9PnpgFnDLp39aDc5j9qTWlO,3DygfSALLL4z9JI54hCjtJAYOgY,2026-12-17T05:07:00Z,2026-12-17T11:17:00Z
delta,Delta SkyMiles,False,1.2,"DL2375, DL693",business,1,ATL,"DL, DL",9,True,True,05:20,10:32,492,79300,5.6,USD,5.6,cache:2026-06-27,951.6,957.2,50.0,41.0,100.0,0,18.0,1130.2,False,957.2,very early departure,"Airbus A321, Airbus A320","OI, OI",38Xo8UJHnIJA1Yjmzs96RT8tQnA,3FKK0k0TpFqc2AcspSgn8ZB6G2D,2026-12-17T05:20:00Z,2026-12-17T10:32:00Z
delta,Delta SkyMiles,False,1.2,"DL2375, DL693",economy,1,ATL,"DL, DL",7,True,True,05:20,10:32,492,42900,5.6,USD,5.6,cache:2026-06-27,514.8,520.4,50.0,41.0,100.0,0,14.0,697.4,True,507.2,"very early departure, expensive","Airbus A321, Airbus A320","NL, NL",38Xo8UJHnIJA1Yjmzs96RT8tQnA,3FKK0h3dNbJsy8xrxLiaa64JkKm,2026-12-17T05:20:00Z,2026-12-17T10:32:00Z
american,American AAdvantage,False,2.0,"AA4745, AA1253",business,1,ORD,"AA, AA",0,False,True,05:30,15:01,751,125500,11.2,USD,11.2,cache:2026-06-27,2510.0,2521.2,50.0,62.58,100.0,0,0.0,2733.78,False,957.2,"not_enough_seats, very early departure","Embraer E175, Boeing 737-800",,38Xo9PnpgFnDLp39aDc5j9qTWlO,3EnF7uHb7ONg8EteRGDqng3W2zT,2026-12-17T05:30:00Z,2026-12-17T15:01:00Z
american,American AAdvantage,False,2.0,"AA4745, AA1253",economy,1,ORD,"AA, AA",0,False,True,05:30,15:01,751,30000,11.2,USD,11.2,cache:2026-06-27,600.0,611.2,50.0,62.58,100.0,0,0.0,823.78,False,507.2,"not_enough_seats, very early departure","Embraer E175, Boeing 737-800",,38Xo9PnpgFnDLp39aDc5j9qTWlO,3EnF7xnUWL2uITtvh35YDfLh8mg,2026-12-17T05:30:00Z,2026-12-17T15:01:00Z
united,United MileagePlus,False,1.2,"UA4754, UA1116",economy,1,ORD,"UA, UA",9,True,True,05:45,10:33,468,35200,5.6,USD,5.6,cache:2026-06-27,422.4,428.0,50.0,39.0,100.0,0,18.0,599.0,False,507.2,very early departure,"Embraer E175, Boeing 737 MAX 9","YN, YN",38Mlm4HPtLrs5szV6tQ6zRuRfdR,3FKJdLoJnZPPPF2BqY70C5nOMrT,2026-12-17T05:45:00Z,2026-12-17T10:33:00Z
united,United MileagePlus,False,1.2,"UA4754, UA2610",economy,1,ORD,"UA, UA",9,True,True,05:45,11:31,526,41800,5.6,USD,5.6,cache:2026-06-27,501.6,507.2,50.0,43.83,100.0,0,18.0,683.03,False,507.2,very early departure,"Embraer E175, Boeing 757-300","YN, YN",38Mlm4HPtLrs5szV6tQ6zRuRfdR,3FKJdKn0neNDMLXck8dGYTmuvyI,2026-12-17T05:45:00Z,2026-12-17T11:31:00Z
american,American AAdvantage,False,2.0,"AA1739, AA2651",business,1,CLT,"AA, AA",0,False,True,06:00,12:26,566,150000,5.6,USD,5.6,cache:2026-06-27,3000.0,3005.6,50.0,47.17,50.0,0,0.0,3152.77,False,957.2,"not_enough_seats, early departure","Airbus A319, Airbus A321",,38Xo9PnpgFnDLp39aDc5j9qTWlO,3DygfWG5htGMWSu2YHeknx5Y6Bn,2026-12-17T06:00:00Z,2026-12-17T12:26:00Z
american,American AAdvantage,False,2.0,"AA1739, AA2651",economy,1,CLT,"AA, AA",0,False,True,06:00,12:26,566,37500,5.6,USD,5.6,cache:2026-06-27,750.0,755.6,50.0,47.17,50.0,0,0.0,902.77,False,507.2,"not_enough_seats, early departure","Airbus A319, Airbus A321",,38Xo9PnpgFnDLp39aDc5j9qTWlO,3DygfULKlcL3vMR8yZtAPUqsEKG,2026-12-17T06:00:00Z,2026-12-17T12:26:00Z
american,American AAdvantage,False,2.0,"AA5106, AA3079",business,1,PHL,"AA, AA",0,False,True,06:00,19:05,965,113500,11.2,USD,11.2,cache:2026-06-27,2270.0,2281.2,50.0,80.42,50.0,0,0.0,2461.62,False,957.2,"not_enough_seats, early departure","Bombardier CRJ700, Airbus A321neo/Lr/Xlr",,38Xo9PnpgFnDLp39aDc5j9qTWlO,3DygfRNisjAvOsxejG0yzOLNhew,2026-12-17T06:00:00Z,2026-12-17T19:05:00Z
american,American AAdvantage,False,2.0,"AA5106, AA3079",economy,1,PHL,"AA, AA",0,False,True,06:00,19:05,965,28500,11.2,USD,11.2,cache:2026-06-27,570.0,581.2,50.0,80.42,50.0,0,0.0,761.62,False,507.2,"not_enough_seats, early departure","Bombardier CRJ700, Airbus A321neo/Lr/Xlr",,38Xo9PnpgFnDLp39aDc5j9qTWlO,3DygfSO3WuxaP2zbzicM2Q6WyyP,2026-12-17T06:00:00Z,2026-12-17T19:05:00Z
american,American AAdvantage,False,2.0,"AA5444, AA1200, AA1253",business,2,"DCA, ORD","AA, AA, AA",0,False,True,06:00,15:01,721,150000,5.6,USD,5.6,cache:2026-06-27,3000.0,3005.6,100.0,60.08,50.0,0,0.0,3215.68,False,957.2,"not_enough_seats, exceeds_preferred_stops, early departure","Bombardier CRJ700, Airbus A319, Boeing 737-800",,38Xo9PnpgFnDLp39aDc5j9qTWlO,3EnF7sW7Tx4r568nRofLUlnrUkN,2026-12-17T06:00:00Z,2026-12-17T15:01:00Z
