source,program,used_default_cpp,cents_per_point,flight_numbers,cabin,stops,connections,carriers,remaining_seats,bookable,comparable,depart_time,arrive_time,duration_minutes,mileage_cost,taxes_amount,taxes_currency,taxes_usd,fx_source,points_value_usd,effective_usd,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,seat_credit_usd,score,expensive_flag,dynamic_price_threshold_usd,flags,aircraft,fare_classes,availability_id,trip_id,departs_at_raw,arrives_at_raw,alternate_count,alternates
alaska,Alaska Atmos Rewards,False,1.5,"AA2428, AA895",economy,1,CLT,AA,9,True,True,12:33,10:59 +1,1226,22500,80.44,USD,80.44,live:2026-06-27,337.5,417.94,50.0,102.17,0.0,75.0,18.0,627.11,False,592.59,next_day_arrival,"Airbus A321, Airbus A321","T, T",32o6jffBLWSOaBl6ylZgptQChIn,3F9YdBD1xA86kNFFcjiCosmTAV4,2026-09-04T12:33:00Z,2026-09-05T10:59:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA3247, AA3035, AA895",economy,2,"LAX, CLT",AA,9,True,True,20:41,10:59 +1,738,22500,74.84,USD,74.84,live:2026-06-27,337.5,412.34,100.0,61.5,0.0,75.0,18.0,630.84,False,592.59,"exceeds_preferred_stops, next_day_arrival","Boeing 737-800, Airbus A321, Airbus A321","T, T, T",32o6jffBLWSOaBl6ylZgptQChIn,3EvT45FAMmSB8D5VF9iijenx2Dh,2026-09-04T20:41:00Z,2026-09-05T10:59:00Z,0,
united,United MileagePlus,False,1.2,"UA2019, UA1619",economy,1,IAH,"UA, UA",9,True,True,18:30,10:06 +1,816,33200,62.34,USD,62.34,live:2026-06-27,398.4,460.74,50.0,68.0,0.0,75.0,18.0,635.74,False,592.59,next_day_arrival,"Boeing 737 MAX 9, Boeing 737 MAX 9","YN, YN",33d4wlCl5uQycjhPmigMOGB3Ysr,3FKSc6vszOGHx0FYZzX89PBf99M,2026-09-04T18:30:00Z,2026-09-05T10:06:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA2428, AA886",economy,1,CLT,AA,9,True,True,12:33,13:35 +1,1382,22500,80.44,USD,80.44,live:2026-06-27,337.5,417.94,50.0,115.17,0.0,75.0,18.0,640.11,False,592.59,next_day_arrival,"Airbus A321, Airbus A321","T, T",32o6jffBLWSOaBl6ylZgptQChIn,3F9YdCQyrZdGcvIgLDotD4jMTbj,2026-09-04T12:33:00Z,2026-09-05T13:35:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA2410, AA895",economy,1,CLT,AA,9,True,True,23:40,10:59 +1,559,22500,74.84,USD,74.84,live:2026-06-27,337.5,412.34,50.0,46.58,75.0,75.0,18.0,640.92,False,592.59,"next_day_arrival, late departure","Airbus A321neo/Lr/Xlr, Airbus A321","T, T",32o6jffBLWSOaBl6ylZgptQChIn,3EvT4ETb89ArwE6xUDzXrznbn6x,2026-09-04T23:40:00Z,2026-09-05T10:59:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA773, AA2422",economy,1,MIA,AA,9,True,True,11:45,13:07 +1,1402,22500,80.44,USD,80.44,live:2026-06-27,337.5,417.94,50.0,116.83,0.0,75.0,18.0,641.77,False,592.59,next_day_arrival,"Airbus A321neo/Lr/Xlr, Airbus A321","T, T",32o6jffBLWSOaBl6ylZgptQChIn,3EvT48SlKf4v3CBDpLtKAW7DNhs,2026-09-04T11:45:00Z,2026-09-05T13:07:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA3247, AA3035, AA886",economy,2,"LAX, CLT",AA,9,True,True,20:41,13:35 +1,894,22500,74.84,USD,74.84,live:2026-06-27,337.5,412.34,100.0,74.5,0.0,75.0,18.0,643.84,False,592.59,"exceeds_preferred_stops, next_day_arrival","Boeing 737-800, Airbus A321, Airbus A321","T, T, T",32o6jffBLWSOaBl6ylZgptQChIn,3EvT44oUZmSFtCtyqdTJuKHYrUT,2026-09-04T20:41:00Z,2026-09-05T13:35:00Z,0,
united,United MileagePlus,False,1.2,"UA2097, UA1038",economy,1,CLE,"UA, UA",9,True,True,23:20,11:40 +1,620,29000,62.34,USD,62.34,live:2026-06-27,348.0,410.34,50.0,51.67,75.0,75.0,18.0,644.01,False,592.59,"next_day_arrival, late departure","Boeing 737 MAX 9, Boeing 737-900","YN, YN",33d4wlCl5uQycjhPmigMOGB3Ysr,3FKSc8Xg0I5hoicz9AdJR7uCAKd,2026-09-04T23:20:00Z,2026-09-05T11:40:00Z,0,
united,United MileagePlus,False,1.2,"UA2837, UA1276",economy,1,IAD,"UA, UA",9,True,True,22:35,15:12 +1,877,27400,62.34,USD,62.34,live:2026-06-27,328.8,391.14,50.0,73.08,75.0,75.0,18.0,646.22,False,592.59,"next_day_arrival, late departure","Boeing 737 MAX 9, Boeing 737 MAX 9","YN, YN",33d4wlCl5uQycjhPmigMOGB3Ysr,3FKSc7Nx86cJB9O5reVrj9fEmr9,2026-09-04T22:35:00Z,2026-09-05T15:12:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA1960, AA895",economy,1,CLT,AA,9,True,True,08:00,10:59 +1,1499,22500,80.44,USD,80.44,live:2026-06-27,337.5,417.94,50.0,124.92,0.0,75.0,18.0,649.86,False,592.59,next_day_arrival,"Airbus A321, Airbus A321","T, T",32o6jffBLWSOaBl6ylZgptQChIn,3FbOdtdohdRSwSZoFyjX13NNleX,2026-09-04T08:00:00Z,2026-09-05T10:59:00Z,0,
